time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 14:23:01.862172,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:22:53-04:00,14,18%
2020-09-13 14:23:21.978314,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:23:19-04:00,14,18%
2020-09-13 14:23:42.103602,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:23:19-04:00,14,18%
2020-09-13 14:24:02.234713,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:23:46-04:00,14,18%
2020-09-13 14:24:22.360879,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:24:16-04:00,14,18%
2020-09-13 14:24:42.468725,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:24:19-04:00,14,18%
2020-09-13 14:25:02.614598,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:24:46-04:00,14,18%
2020-09-13 14:25:22.728255,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:25:16-04:00,14,18%
2020-09-13 14:25:42.838885,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:25:22-04:00,14,18%
2020-09-13 14:26:02.983366,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:25:46-04:00,14,18%
2020-09-13 14:26:23.115330,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:26:16-04:00,14,18%
2020-09-13 14:26:43.237376,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:26:24-04:00,14,18%
2020-09-13 14:27:03.337369,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:26:46-04:00,14,18%
2020-09-13 14:27:23.464375,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:27:16-04:00,14,18%
2020-09-13 14:27:43.592812,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:27:24-04:00,14,18%
2020-09-13 14:28:03.713554,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:27:46-04:00,14,18%
2020-09-13 14:28:23.838562,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:28:16-04:00,14,18%
2020-09-13 14:28:43.944917,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:28:26-04:00,14,18%
2020-09-13 14:29:04.066735,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:28:46-04:00,14,18%
2020-09-13 14:29:24.174078,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:29:16-04:00,14,18%
2020-09-13 14:29:44.302114,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:29:29-04:00,14,18%
2020-09-13 14:30:04.426802,UCB,1916,University City/Toms Creek Ebnd,1322,N,N,2020-09-13T14:29:46-04:00,14,18%
2020-09-13 14:30:24.540796,UCB,1916,Patrick Henry/Toms Creek Ebnd,1323,N,Y,2020-09-13T14:30:16-04:00,14,18%
2020-09-13 14:30:44.675158,UCB,1916,The Village on Patrick Henry Ebnd,1324,N,N,2020-09-13T14:30:36-04:00,14,18%
2020-09-13 14:31:04.800212,UCB,1916,Patrick Henry/Progress Ebnd,1325,N,N,2020-09-13T14:30:56-04:00,14,18%
2020-09-13 14:31:24.929134,UCB,1916,Patrick Henry/Progress Ebnd,1325,N,N,2020-09-13T14:31:10-04:00,14,18%
2020-09-13 14:31:45.067648,UCB,1916,Patrick Henry/Progress Ebnd,1325,N,N,2020-09-13T14:31:38-04:00,14,18%
2020-09-13 14:32:05.176016,UCB,1916,Progress/Hunt Club Sbnd,1326,N,N,2020-09-13T14:31:58-04:00,14,18%
2020-09-13 14:32:25.282171,UCB,1916,Progress/Hunt Club Sbnd,1326,N,N,2020-09-13T14:32:07-04:00,14,18%
2020-09-13 14:32:45.390710,UCB,1916,Progress/University Terr Sbnd,1327,N,N,2020-09-13T14:32:36-04:00,14,18%
2020-09-13 14:33:05.516975,UCB,1916,Progress/University Terr Sbnd,1327,N,N,2020-09-13T14:32:57-04:00,14,18%
2020-09-13 14:33:25.621850,UCB,1916,Progress/Broce Sbnd,1328,N,N,2020-09-13T14:33:14-04:00,14,18%
2020-09-13 14:33:45.713641,UCB,1916,Progress/Broce Sbnd,1328,N,N,2020-09-13T14:33:38-04:00,14,18%
2020-09-13 14:34:05.826314,UCB,1916,Progress/Watson Sbnd,1340,N,N,2020-09-13T14:33:53-04:00,14,18%
2020-09-13 14:34:25.937248,UCB,1916,Progress/Watson Sbnd,1340,N,N,2020-09-13T14:34:20-04:00,14,18%
2020-09-13 14:34:46.066684,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:34:39-04:00,14,18%
2020-09-13 14:35:06.195342,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:34:57-04:00,14,18%
2020-09-13 14:35:26.317580,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:35:21-04:00,14,18%
2020-09-13 14:35:46.440616,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:35:39-04:00,14,18%
2020-09-13 14:36:06.553131,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:35:55-04:00,14,18%
2020-09-13 14:36:26.698547,UCB,1916,Main/Kabrich Sbnd,1421,N,N,2020-09-13T14:36:20-04:00,14,18%
2020-09-13 14:36:46.814847,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:36:42-04:00,14,18%
2020-09-13 14:37:06.915752,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:36:47-04:00,14,18%
2020-09-13 14:37:27.015935,UCB,1916,McBryde Hall,1106,N,N,2020-09-13T14:37:12-04:00,14,18%
2020-09-13 14:37:47.150884,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:37:34-04:00,14,18%
2020-09-13 14:38:07.269257,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:38:03-04:00,14,18%
